mp-1078944,PbS
mp-10810,TiAgF6
mp-1077156,NdGe5
mp-1094344,Mg2Ti
mp-28677,BiS
mp-1025406,LiP3
mp-11131,K2Hg3(GeS4)2
mp-25469,AlCl3
mp-23440,Y6C2I7
mp-18855,Co2Te3O8
mp-31725,CrBrO
mp-545706,Ca3Cu2(BrO2)2
mp-638749,Te3(PdBr)4
mp-25033,Sr4Mn3(ClO4)2
mp-753517,SrBi5O9
mp-28938,Nb3TeCl7
mp-776661,NbV3O10
mp-540687,Ge3(BiTe3)2
mvc-15812,Mg2Sn3O8
mvc-13410,Ca(SnN)2
mvc-6826,Mg(SnO2)2
mp-771797,MnCoO4
mp-568791,Ca3SiBr2
mp-766855,BaH9IO5
mp-30500,TiCd
mp-777915,Na2FeO2
mp-768036,Mn(CO3)2
mvc-15503,Mg2Ni3O8
mp-756435,Sr3Nb4O13
mp-772318,Li2Cr2O7
mp-31001,KSb3O5
mp-995193,Si3H
mp-626813,Mo2H2O7
mp-557163,TaPbF7
mvc-3524,YVF5
mp-985572,LiAg(CO2)2
mp-773602,MnCo3O8
mp-6215,AgHgAsS3
mp-777198,LiFe2OF5
mp-766515,ZnH6(SeO4)2
mp-753727,Y3I7O
mp-1078991,ErTe3
mp-762860,LiCoSiO4
mp-28189,FeSeCl7
mp-10631,Sb
mvc-15029,Y(CuO2)3
mp-769003,BaY3Cl11
mp-1094075,P
mp-1025459,HfTe3
mp-777447,LiFe2F7
mp-1071473,TbGe5
mp-1068510,In2Te3
mp-1039345,CeMg2
mp-1071032,GeS2
mp-1071152,CaC2
mp-1065860,SbS
